"country","lifeExp"
"Afghanistan",43.828
"Albania",76.423
"Algeria",72.301
"Angola",42.731
"Argentina",75.32
"Australia",81.235
"Austria",79.829
"Bahrain",75.635
"Bangladesh",64.062
"Belgium",79.441
"Benin",56.728
"Bolivia",65.554
"Bosnia and Herzegovina",74.852
"Botswana",50.728
"Brazil",72.39
"Bulgaria",73.005
"Burkina Faso",52.295
"Burundi",49.58
"Cambodia",59.723
"Cameroon",50.43
"Canada",80.653
"Central African Republic",44.741
"Chad",50.651
"Chile",78.553
"China",72.961
"Colombia",72.889
"Comoros",65.152
"Congo, Dem. Rep.",46.462
"Congo, Rep.",55.322
"Costa Rica",78.782
"Cote d'Ivoire",48.328
"Croatia",75.748
"Cuba",78.273
"Czech Republic",76.486
"Denmark",78.332
"Djibouti",54.791
"Dominican Republic",72.235
"Ecuador",74.994
"Egypt",71.338
"El Salvador",71.878
"Equatorial Guinea",51.579
"Eritrea",58.04
"Ethiopia",52.947
"Finland",79.313
"France",80.657
"Gabon",56.735
"Gambia",59.448
"Germany",79.406
"Ghana",60.022
"Greece",79.483
"Guatemala",70.259
"Guinea",56.007
"Guinea-Bissau",46.388
"Haiti",60.916
"Honduras",70.198
"Hong Kong, China",82.208
"Hungary",73.338
"Iceland",81.757
"India",64.698
"Indonesia",70.65
"Iran",70.964
"Iraq",59.545
"Ireland",78.885
"Israel",80.745
"Italy",80.546
"Jamaica",72.567
"Japan",82.603
"Jordan",72.535
"Kenya",54.11
"Korea, Dem. Rep.",67.297
"Korea, Rep.",78.623
"Kuwait",77.588
"Lebanon",71.993
"Lesotho",42.592
"Liberia",45.678
"Libya",73.952
"Madagascar",59.443
"Malawi",48.303
"Malaysia",74.241
"Mali",54.467
"Mauritania",64.164
"Mauritius",72.801
"Mexico",76.195
"Mongolia",66.803
"Montenegro",74.543
"Morocco",71.164
"Mozambique",42.082
"Myanmar",62.069
"Namibia",52.906
"Nepal",63.785
"Netherlands",79.762
"New Zealand",80.204
"Nicaragua",72.899
"Niger",56.867
"Nigeria",46.859
"Norway",80.196
"Oman",75.64
"Pakistan",65.483
"Panama",75.537
"Paraguay",71.752
"Peru",71.421
"Philippines",71.688
"Poland",75.563
"Portugal",78.098
"Puerto Rico",78.746
"Reunion",76.442
"Romania",72.476
"Rwanda",46.242
"Sao Tome and Principe",65.528
"Saudi Arabia",72.777
"Senegal",63.062
"Serbia",74.002
"Sierra Leone",42.568
"Singapore",79.972
"Slovak Republic",74.663
"Slovenia",77.926
"Somalia",48.159
"South Africa",49.339
"Spain",80.941
"Sri Lanka",72.396
"Sudan",58.556
"Swaziland",39.613
"Sweden",80.884
"Switzerland",81.701
"Syria",74.143
"Taiwan",78.4
"Tanzania",52.517
"Thailand",70.616
"Togo",58.42
"Trinidad and Tobago",69.819
"Tunisia",73.923
"Turkey",71.777
"Uganda",51.542
"United Kingdom",79.425
"United States",78.242
"Uruguay",76.384
"Venezuela",73.747
"Vietnam",74.249
"West Bank and Gaza",73.422
"Yemen, Rep.",62.698
"Zambia",42.384
"Zimbabwe",43.487
